card_name,bank,card_image_link,active
Wells Fargo Propel American Express,Wells Fargo,propel_card.png,1
Wells Fargo Cash Wise Visa,Wells Fargo,cash_wise.png,1
Wells Fargo Visa Signature,Wells Fargo,wells_fargo_visa_signature.png,1
Wells Fargo Rewards,Wells Fargo,wells_fargo_rewards.png,1
Wells Fargo Platinum,Wells Fargo,wells_fargo_platinum.png,1
Hotels.com Rewards Visa,Wells Fargo,,0
Wells Fargo Cash Back College,Wells Fargo,wells_fargo_cash_back_college.png,1
Citi Rewards+,Citi,,0
Citi Double Cash,Citi,citi_double_cash.png,1
Citi Diamond Preferred,Citi,,0
Citi Premier,Citi,,0
Citi Prestige,Citi,,0
Costco Anywhere Visa Card by Citi,Citi,,0
AT&T Access Card From Citi,Citi,,0
Citi Simplicity Card,Citi,,0
Citi AAdvantage Platinum Select World Elite Mastercard,Citi,,0
American Airlines AAdvantage MileU Mastercard,Citi,,0
Citi AAdvantage Executive World Elite Mastercard,Citi,,0
Expedia Rewards Card from Citi,Citi,,0
Expedia Rewards Voyager Card from Citi,Citi,,0
CitiBusiness AAdvantage Platinum Select Mastercard,Citi,,0
Costco Anywhere Visa Business Card by Citi,Citi,,0
Citi Secured Mastercard,Citi,,0
Chase Freedom Unlimited,Chase,freedom_unlimited_card.png,1
Chase Freedom Flex,Chase,freedom_flex_card.png,1
Chase Sapphire Preferred,Chase,sapphire_preferred_card.png,1
Chase Freedom Student,Chase,chase_freedom_student.png,1
Chase Sapphire Reserve,Chase,chase_sapphire_reserve.png,1
Southwest Rapid Rewards Priority Credit Card,Chase,,0
Southwest Rapid Rewards Plus Credit Card,Chase,,0
Southwest Rapid Rewards Premier Credit Card,Chase,,0
United Club Infinite Card,Chase,,0
United Gateway Credit Card,Chase,,0
United Explorer Card,Chase,,0
British Airways Visa Signature card,Chase,,0
Aer Lingus Visa Signature card,Chase,,0
Iberia Visa Signature card,Chase,,0
Marriott Bonvoy Bold credit card,Chase,,0
Marriott Bonvoy Boundless credit card,Chase,,0
World of Hyatt Credit Card,Chase,,0
Disney Premier Visa Card,Chase,,0
Disney Visa Card,Chase,,0
IHG Rewards Club Premier Credit Card,Chase,,0
IHG Rewards Club Traveler Credit Card,Chase,,0
Starbucks Rewards Visa Card,Chase,,0
Amazon Prime Rewards Visa Signature Card,Chase,,0
Discover it Cash Back,Discover,discover_it_cash.png,1
Discover it Gas and Restaurants,Discover,,0
NHL Discover it,Discover,,0
Discover it Miles,Discover,,0
Discover it for Students Card,Discover,,0
Discover it Student Chrome Card,Discover,,0
Discover it Secured Credit Card,Discover,,0
American Express Gold Card,American Express,,0
Blue Cash Preferred Card,American Express,,0
Blue Cash Everyday Card,American Express,blue_cash_everyday.png,1
Cash Magnet Card,American Express,,0
The Platinum Card,American Express,,0
American Express Green Card,American Express,,0
Amex EveryDay Credit Card,American Express,,0
Delta SkyMiles Gold American Express Card,American Express,,0
Hilton Honors American Express Surpass Card,American Express,,0
Marriott Bonvoy Brilliant American Express Card,American Express,,0
Amex EveryDay Preferred Credit Card,American Express,,0
Delta SkyMiles Platinum American Express Card,American Express,,0
Hilton Honors American Express Aspire Card,American Express,,0
Hilton Honors Card,American Express,,0
Delta SkyMiles Reserve American Express Card,American Express,,0
Delta SkyMiles Blue American Express Card,American Express,,0
Blue from American Express,American Express,,0
Serve from American Express,American Express,,0
Apple Card,Apple,apple_card.png,1
US Bank Altitude Connect,U.S. Bank,altitude_connect.png,1
Citi Custom Cash,Citi,citi_custom_cash.png,1
